,Cash,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,TotalLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2007-11,,24.90M,24.90M,938.50M,938.50M,117.30M,1.304B,619.60M,2.041B,142.70M,,3.148B,,,,,,,2.422B,-630.10M,1.792B,3.428B,1.253B,4.681B,,,573.60M,7.046B,10.19B,,,,350.80M,775.20M,1.126B,101.70M,,,366.90M,468.60M,,468.60M,,,,1.595B,4.235B,,4.235B,498.20M,498.20M,,6.681B,,2007-11,2.50M,2.141B,,788.00M,-122.50M,665.50M,3.513B,,2007-11,,Restated
2007-08,,33.20M,33.20M,784.50M,784.50M,110.80M,1.183B,628.70M,1.923B,147.00M,,2.887B,,,,,,,2.359B,-630.10M,1.729B,3.354B,1.216B,4.571B,,,544.30M,6.844B,9.731B,,,,281.30M,713.50M,994.80M,149.80M,,,307.40M,457.20M,,457.20M,,,,1.452B,4.292B,,4.292B,473.70M,473.70M,,6.542B,,2007-08,2.50M,2.021B,,591.70M,-114.00M,477.70M,3.189B,,2007-08,,Restated
2007-05,,33.50M,33.50M,763.90M,763.90M,108.10M,1.294B,552.70M,1.955B,156.60M,,2.909B,,,,,,,2.374B,-630.10M,1.744B,3.349B,1.219B,4.568B,,,604.90M,6.917B,9.826B,,,,270.60M,631.80M,902.40M,242.30M,,,362.80M,605.10M,,605.10M,,,,1.508B,4.382B,,4.382B,490.80M,490.80M,,6.698B,,2007-05,2.50M,1.949B,,603.40M,-95.20M,508.20M,3.128B,,2007-05,,Restated
2007-02,,33.50M,33.50M,881.00M,881.00M,,,,1.948B,160.70M,,3.023B,0.00,509.10M,448.10M,1.328B,,95.20M,2.380B,-630.10M,1.750B,3.084B,1.135B,4.219B,,,445.40M,6.415B,9.438B,,73.70M,,449.80M,670.70M,1.120B,153.30M,,,317.30M,470.60M,,470.60M,,,,1.591B,3.715B,,3.715B,474.10M,474.10M,,6.021B,,2007-02,2.50M,1.919B,,,,349.10M,3.418B,,2007-02,AOR,Restated
2006-11,,34.70M,34.70M,1.160B,1.160B,188.20M,1.247B,703.30M,2.139B,303.20M,,3.636B,0.00,507.10M,427.20M,1.231B,,137.80M,2.304B,-597.40M,1.706B,3.089B,1.161B,4.250B,,28.90M,223.50M,6.209B,9.845B,,,,543.40M,923.30M,1.467B,316.80M,,,59.70M,376.50M,,376.50M,,,,1.843B,3.949B,,3.949B,457.90M,457.90M,,6.517B,,2006-11,2.50M,1.849B,,,,359.40M,3.328B,,2006-11,,
2006-08,,42.20M,42.20M,1.022B,1.022B,117.40M,1.108B,700.70M,1.926B,281.80M,,3.273B,0.00,510.60M,429.50M,1.202B,,122.40M,2.265B,-566.80M,1.698B,3.085B,1.151B,4.237B,,,241.30M,6.176B,9.449B,,,,420.30M,818.80M,1.239B,313.30M,,,15.40M,328.70M,,328.70M,,,,1.568B,3.988B,,3.988B,453.60M,453.60M,,6.282B,,2006-08,2.40M,1.741B,,,,314.60M,3.167B,,2006-08,,
2006-05,,37.50M,37.50M,854.20M,854.20M,86.60M,1.103B,561.50M,1.751B,278.70M,,2.922B,,,,,,,1.956B,-513.06M,1.443B,2.204B,886.90M,3.091B,,,216.30M,4.75B,7.672B,,,,365.00M,693.50M,1.058B,164.30M,,,214.30M,378.60M,,378.60M,,,,1.437B,2.482B,,2.482B,373.60M,373.60M,,4.552B,,2006-05,2.30M,1.675B,,,,293.70M,3.12B,,2006-05,,
2006-02,,10.90M,10.90M,771.90M,771.90M,,,,1.704B,213.70M,,2.701B,0.00,418.40M,369.70M,1.076B,,73.90M,1.938B,-513.10M,1.425B,2.194B,883.90M,3.078B,,,196.90M,4.700B,7.401B,,76.70M,,389.50M,614.60M,1.004B,79.90M,,,214.10M,294.00M,,294.00M,,,,1.298B,2.516B,,2.516B,371.20M,371.20M,,4.425B,,2006-02,2.30M,1.592B,,,,247.40M,2.975B,,2006-02,,Restated
2005-11,,26.37M,26.37M,969.53M,969.53M,147.00M,1.064B,595.36M,1.806B,194.85M,,2.997B,,,,,,,1.843B,-428.55M,1.414B,,3.069B,3.069B,,,222.42M,4.706B,7.703B,,,,485.72M,761.65M,1.247B,127.74M,,,225.72M,353.47M,,353.47M,,,,1.601B,2.592B,,2.592B,374.69M,374.69M,,4.796B,,2005-11,2.311M,1.537B,0.002M,,,264.88M,2.907B,,2005-11,,
2005-08,,18.67M,18.67M,890.64M,890.64M,78.54M,901.90M,635.14M,1.616B,209.63M,,2.735B,,,,,,,1.868B,-428.55M,1.440B,,3.061B,3.061B,,,227.92M,4.729B,7.463B,,,,362.08M,659.99M,1.022B,71.51M,,,213.36M,284.87M,,284.87M,,,,1.307B,2.704B,,2.704B,356.24M,356.24M,,4.629B,,2005-08,2.308M,1.430B,0.002M,,,303.48M,2.834B,,2005-08,,
2005-05,,19.18M,19.18M,822.22M,822.22M,61.36M,1.001B,603.95M,1.666B,211.57M,,2.719B,,,,,,,1.878B,-428.55M,1.450B,,3.048B,3.048B,,,285.07M,4.782B,7.501B,,,,387.18M,616.16M,1.003B,62.61M,,,67.89M,130.50M,,130.50M,,,,1.134B,2.969B,,2.969B,382.06M,382.06M,,4.759B,,2005-05,2.299M,1.350B,0.002M,,,307.65M,2.742B,,2005-05,,
2005-02,,17.64M,17.64M,849.64M,849.64M,71.56M,957.57M,578.61M,1.608B,259.02M,,2.734B,0.00,544.95M,367.54M,1.049B,,63.78M,2.025B,-428.55M,1.596B,2.183B,945.65M,3.128B,,,345.45M,5.070B,7.804B,,,,345.25M,708.26M,1.054B,16.48M,,,68.09M,84.57M,,84.57M,,,,1.138B,3.205B,,3.205B,389.89M,389.89M,,5.024B,,2005-02,2.29M,1.277B,0.002M,,,431.78M,2.780B,,2005-02,,Restated
2004-11,,12.75M,12.75M,906.32M,906.32M,109.70M,817.06M,516.67M,1.443B,185.63M,,2.548B,,,,,,,1.476B,-351.77M,1.124B,,2.311B,2.311B,,,96.82M,3.532B,6.080B,,,,383.42M,632.26M,1.016B,226.06M,,,85.84M,311.90M,,311.90M,,,,1.328B,1.717B,,1.717B,206.43M,206.43M,,3.411B,,2004-11,1.135M,1.232B,0.002M,,,414.39M,2.669B,,2004-11,,
2004-08,,9.768M,9.768M,789.08M,789.08M,62.05M,794.09M,462.61M,1.319B,177.00M,,2.295B,,,,,,,1.413B,-351.77M,1.061B,,2.212B,2.212B,,,87.81M,3.361B,5.656B,,,,403.07M,527.26M,930.33M,193.60M,,,79.34M,272.94M,,272.94M,,,,1.203B,1.721B,,1.721B,197.84M,197.84M,,3.274B,,2004-08,1.131M,1.137B,0.002M,,,228.35M,2.381B,,2004-08,,
2004-05,,11.44M,11.44M,711.85M,711.85M,43.99M,845.52M,425.84M,1.315B,141.59M,,2.180B,,,,,,,1.412B,-351.77M,1.061B,,2.226B,2.226B,,,82.33M,3.369B,5.549B,,,,361.51M,453.36M,814.86M,243.55M,,,108.93M,352.48M,,352.48M,,,,1.167B,1.736B,,1.736B,178.26M,178.26M,,3.238B,,2004-05,1.124M,1.059B,0.002M,,,250.36M,2.311B,,2004-05,,
2004-02,,37.14M,37.14M,635.91M,635.91M,49.63M,803.20M,408.54M,1.261B,137.05M,,2.071B,0.00,278.59M,297.13M,813.75M,,59.66M,1.449B,-351.77M,1.097B,,2.286B,2.286B,,,104.22M,3.487B,5.559B,,,,270.29M,490.47M,760.76M,1.792M,,,267.24M,269.04M,,269.04M,,,,1.030B,1.779B,,1.779B,187.41M,187.41M,,3.181B,,2004-02,1.119M,1.010B,0.002M,,,372.25M,2.378B,,2004-02,,
2003-11,,38.38M,38.38M,768.10M,768.10M,83.53M,785.74M,422.71M,1.292B,117.95M,,2.216B,0.00,264.86M,274.37M,769.89M,,72.81M,1.382B,-333.95M,1.048B,,2.248B,2.248B,,,112.26M,3.408B,5.624B,,,,340.07M,539.38M,879.45M,168.04M,,,65.83M,233.87M,,233.87M,,,,1.113B,1.971B,,1.971B,169.46M,169.46M,,3.419B,,2003-11,1.111M,949.82M,0.002M,,,286.55M,2.205B,,2003-11,,
2003-08,,47.46M,47.46M,615.47M,615.47M,49.53M,734.23M,414.59M,1.198B,108.88M,,1.970B,0.00,156.64M,259.57M,737.34M,96.02M,57.24M,1.307B,-314.82M,991.99M,,2.140B,2.140B,,,96.98M,3.229B,5.199B,,,,255.84M,481.15M,736.99M,35.09M,,,82.00M,117.09M,,117.09M,,,,854.08M,2.147B,,2.147B,151.32M,151.32M,,3.304B,,2003-08,1.104M,869.43M,0.002M,,,65.63M,1.895B,,2003-08,,
2003-05,,46.01M,46.01M,566.35M,566.35M,197.20M,705.55M,426.36M,1.329B,108.77M,,2.050B,0.00,155.02M,275.81M,706.01M,95.35M,50.36M,1.283B,-301.44M,981.12M,,2.328B,2.328B,,,,3.309B,5.359B,,,,279.88M,455.48M,735.35M,16.26M,,,468.58M,484.84M,,484.84M,,,,1.220B,2.294B,,2.294B,253.47M,253.47M,,3.919B,,2003-05,1.00M,834.71M,,111.05M,-32.00M,79.05M,1.440B,,2003-05,,
2003-02,,13.81M,13.81M,399.10M,399.10M,26.47M,534.07M,259.37M,819.91M,97.28M,,1.330B,0.00,122.15M,173.94M,556.74M,,32.84M,885.67M,-283.20M,602.47M,,1.105B,1.105B,,,159.11M,1.866B,3.196B,,,,171.07M,340.25M,511.32M,2.623M,,,71.26M,73.89M,,73.89M,,,,585.21M,1.192B,,1.192B,145.24M,145.24M,,2.021B,,2003-02,0.96M,795.52M,,-16.72M,-42.69M,-59.41M,1.175B,,2003-02,,
2002-11,,29.94M,29.94M,479.66M,479.66M,27.09M,589.49M,263.57M,880.15M,76.16M,,1.466B,,,,,,,831.05M,-231.90M,599.15M,,1.104B,1.104B,,,171.57M,1.874B,3.340B,,,,217.72M,405.20M,622.91M,5.198M,,,83.34M,88.54M,,88.54M,,,,711.45M,1.266B,,1.266B,151.29M,151.29M,,2.192B,,2002-11,0.958M,743.50M,,,,-21.14M,1.148B,,2002-11,,
2002-08,,25.02M,25.02M,435.55M,435.55M,33.15M,467.35M,267.80M,768.29M,85.13M,,1.314B,,,,,,,826.23M,-231.90M,594.33M,,1.274B,1.274B,,,,1.869B,3.183B,,,,160.29M,363.52M,523.81M,0.992M,,,80.98M,81.97M,,81.97M,,,,605.78M,1.286B,,1.286B,149.68M,149.68M,,2.104B,,2002-08,0.955M,679.16M,,,,-22.49M,1.078B,,2002-08,,
2002-05,,6.564M,6.564M,420.85M,420.85M,,,,767.72M,64.90M,,1.260B,,,,,,,812.11M,-231.90M,580.21M,,1.256B,1.256B,,,,1.836B,3.096B,,,,155.47M,,155.47M,32.34M,,,84.05M,116.39M,,116.39M,,,327.04M,598.90M,1.279B,,1.279B,146.80M,146.80M,,2.087B,,2002-05,0.946M,629.59M,,,,-27.96M,1.009B,,2002-05,,
2002-02,,8.961M,8.961M,383.92M,383.92M,34.13M,524.37M,219.09M,777.59M,60.78M,,1.231B,0.00,125.02M,153.64M,493.93M,,38.07M,810.66M,-231.90M,578.76M,,1.094B,1.094B,,,165.30M,1.838B,3.069B,,,,153.43M,305.39M,458.83M,54.78M,,,81.61M,136.38M,,136.38M,,,,595.21M,1.293B,,1.293B,163.15M,163.15M,,2.114B,,2002-02,0.939M,592.22M,,,,-35.27M,955.74M,,2002-02,,
2001-11,,9.454M,9.454M,473.84M,473.84M,42.84M,549.06M,239.98M,831.89M,72.18M,,1.387B,,,,766.34M,,,766.34M,-204.67M,561.67M,,,,,,1.178B,1.740B,3.127B,,,,217.55M,340.46M,558.01M,159.49M,,,80.04M,239.53M,,239.53M,,,,797.54M,1.259B,,1.259B,131.95M,131.95M,,2.222B,,2001-11,0.464M,565.22M,,,,-34.16M,905.28M,,2001-11,,
2001-08,,6.768M,6.768M,406.93M,406.93M,37.80M,453.41M,277.91M,769.12M,70.99M,,1.254B,,,,765.12M,,,765.12M,-204.67M,560.45M,,,,,,1.092B,1.653B,2.907B,,,,149.48M,302.45M,451.93M,88.99M,,,75.85M,164.84M,,164.84M,,,,616.78M,1.284B,,1.284B,132.52M,132.52M,,2.067B,,2001-08,0.46M,515.58M,,-28.85M,-0.10M,-28.95M,840.06M,,2001-08,,
2001-05,,3.739M,3.739M,374.40M,374.40M,32.26M,465.85M,258.50M,756.61M,64.58M,,1.199B,,,,,,,787.74M,-204.67M,583.07M,,,,,,957.29M,1.540B,2.740B,,,,154.39M,,154.39M,24.90M,,,73.00M,97.90M,,97.90M,,,252.33M,504.62M,1.294B,,1.294B,131.32M,131.32M,,1.959B,,2001-05,0.451M,479.64M,,-30.38M,-0.126M,-30.50M,780.95M,,2001-05,,
2001-02,,145.67M,145.67M,314.26M,314.26M,28.01M,450.65M,191.36M,670.02M,61.04M,,1.191B,0.00,130.20M,140.35M,464.39M,,18.35M,753.29M,-204.67M,548.61M,,,,,,772.57M,1.321B,2.512B,,,,114.79M,254.01M,368.80M,4.184M,,,54.18M,58.36M,,58.36M,,,,427.16M,1.307B,,1.307B,131.97M,131.97M,,1.896B,,2001-02,0.448M,455.80M,,-26.00M,-0.151M,-26.16M,616.27M,,2001-02,,
2000-11,,1.871M,1.871M,,386.91M,,,,699.88M,,70.14M,1.159B,,,,,,,700.67M,-164.37M,536.30M,,,,,,770.69M,1.307B,2.466B,,,,163.20M,,163.20M,,,,,158.54M,,158.54M,,,290.39M,612.13M,1.124B,,1.124B,116.52M,116.52M,,1.883B,,2000-11,0.222M,437.42M,,,,-27.81M,582.87M,,2000-11,,
2000-08,,4.15M,4.15M,,358.30M,,,,604.35M,,64.72M,1.032B,,,,,,,714.91M,-184.84M,530.07M,,,,,,778.47M,1.309B,2.340B,,,,137.72M,,137.72M,,,,,64.08M,,64.08M,,,294.49M,496.29M,1.145B,,1.145B,116.92M,116.92M,,1.790B,,2000-08,0.221M,402.47M,,-23.26M,,-23.26M,550.04M,,2000-08,,
2000-05,,14.02M,14.02M,,334.73M,,,,601.73M,,52.11M,1.003B,,,,,,,706.03M,-175.04M,530.99M,,,,,,793.52M,1.325B,2.327B,,,,129.38M,,129.38M,,,,,66.51M,,66.51M,,,248.26M,444.15M,1.206B,,1.206B,115.34M,115.34M,,1.798B,,2000-05,0.22M,376.36M,,,,-15.42M,529.54M,,2000-05,,
2000-02,,34.31M,34.31M,291.11M,291.11M,,,,615.70M,,54.88M,996.00M,,,,,,,707.34M,-164.37M,542.97M,,809.82M,809.82M,,,,1.353B,2.349B,,,,122.21M,,122.21M,,,,,80.79M,,80.79M,,,235.22M,438.22M,1.237B,,1.237B,116.45M,116.45M,,1.828B,,2000-02,0.22M,358.46M,,,,-4.149M,520.84M,,2000-02,,
1999-11,,24.70M,24.70M,,402.10M,,,,677.40M,,67.00M,1.171B,,,,,,,719.80M,-158.40M,561.40M,,800.40M,800.40M,,,,1.362B,2.533B,,,,183.00M,,183.00M,,,,,154.60M,,154.60M,,,302.80M,640.40M,1.254B,,1.254B,113.60M,113.60M,,2.036B,,1999-11,0.20M,342.90M,,-7.70M,,-7.70M,497.30M,,1999-11,,
1999-08,,4.30M,4.30M,,344.70M,,,,602.30M,,74.20M,1.026B,,,,,,,700.50M,-147.10M,553.40M,,801.40M,801.40M,,,,1.355B,2.380B,,,,150.40M,,150.40M,,,,,92.90M,,92.90M,,,255.70M,499.00M,1.274B,,1.274B,110.30M,110.30M,,1.911B,,1999-08,0.20M,313.00M,,-4.90M,,-4.90M,468.90M,,1999-08,,
1999-05,,1.90M,1.90M,,327.70M,,,,547.80M,,56.30M,933.70M,,,,,,,591.70M,-133.50M,458.20M,,614.70M,614.70M,,,,1.073B,2.007B,,,,134.30M,,134.30M,,,,,30.30M,,30.30M,,,214.70M,379.30M,1.073B,,1.073B,83.90M,83.90M,,1.559B,,1999-05,,291.90M,,,,,447.90M,,1999-05,,
1999-02,,27.60M,27.60M,,260.40M,,,,508.60M,,59.10M,855.70M,,,,,,,565.60M,-136.80M,428.80M,,509.20M,509.20M,,,0.10M,938.10M,1.794B,,,,122.70M,,122.70M,,,,,93.70M,,93.70M,,,198.90M,415.30M,831.70M,,831.70M,88.20M,88.20M,,1.358B,,1999-02,,281.10M,,,,,435.30M,,1999-02,,
1998-11,,2.10M,2.10M,,173.80M,,,,441.00M,,42.40M,659.30M,,,,,,,376.90M,-129.40M,247.50M,,260.40M,260.40M,,,,507.90M,1.167B,,,,71.40M,,71.40M,,,,,138.60M,,138.60M,,,177.90M,387.90M,291.40M,,291.40M,59.30M,59.30M,,743.60M,,1998-11,,269.40M,,,,,423.60M,,1998-11,,
1998-08,,1.50M,1.50M,,154.60M,,,,346.00M,,37.40M,539.50M,,,,,,,370.80M,-124.60M,246.20M,,262.00M,262.00M,,,,508.20M,1.048B,,,,65.60M,,65.60M,,,,,87.10M,,87.10M,,,123.20M,275.90M,297.40M,,297.40M,59.20M,59.20M,,638.00M,,1998-08,,249.70M,,,,,409.70M,,1998-08,,
1998-05,,0.80M,0.80M,,169.60M,,,,362.90M,,22.00M,555.30M,,,,,,,362.50M,-118.80M,243.70M,,264.50M,264.50M,,,-0.10M,508.10M,1.063B,,,,44.00M,,44.00M,,,,,104.10M,,104.10M,,,117.20M,265.30M,303.30M,,303.30M,59.20M,59.20M,,633.60M,,1998-05,,234.00M,,,,,429.80M,,1998-05,,
