,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2004-03,-19.38M,,,,,-21.92M,25.41M,2.289M,27.70M,27.70M,50.35M,,,,-27.29M,-65.09M,-54.86M,-35.40M,,-79.61M,,-262.25M,-225.50M,-34.34M,,-34.34M,,,29.73M,,-4.613M,,153.41M,1.069B,-882.95M,186.31M,,,,,-39.25M,,-0.472M,300.00M,463.65M,69.88M,533.53M,1.069B,,,-882.95M
2003-12,2.394M,,,,,-11.44M,30.75M,2.835M,33.59M,33.59M,29.64M,,,,82.91M,-15.25M,0.127M,47.62M,,-67.30M,,48.10M,102.28M,-42.93M,,-42.93M,,,1.781M,-0.358M,-41.51M,,-119.76M,24.94M,-5.792M,19.14M,,,,,-23.19M,,-1.896M,-125.71M,528.59M,-64.94M,463.65M,24.94M,,,-5.792M
2003-09,53.49M,,,,,42.06M,63.98M,3.79M,67.77M,67.77M,43.56M,,,,-27.08M,-4.05M,-0.711M,-6.186M,,16.87M,,-21.16M,185.73M,-34.06M,,-34.06M,,,48.20M,-68.79M,-54.66M,,-121.57M,23.36M,-221.29M,-197.92M,,,,,-21.69M,,-1.656M,-342.84M,740.36M,-211.77M,528.59M,23.36M,,,-221.29M
2003-06,66.94M,,,,,21.89M,68.28M,5.54M,73.82M,73.82M,19.56M,,,,-29.42M,-4.274M,1.40M,52.36M,,32.63M,,52.69M,234.91M,-32.11M,,-32.11M,,,23.64M,-23.69M,-32.15M,,-220.92M,18.44M,,18.44M,,,,,-22.56M,,-0.063M,-225.10M,762.70M,-22.34M,740.36M,18.44M,,,
2003-03,58.83M,,,,,-1.946M,67.79M,4.031M,71.82M,71.82M,17.89M,,,,-18.10M,-7.035M,-6.244M,-32.91M,,-33.15M,,-97.44M,49.16M,-30.08M,,-30.08M,,,,25.58M,-4.506M,,721.01M,2.033M,,2.033M,,,,,-9.595M,,-3.241M,710.21M,7.836M,754.86M,762.70M,2.033M,,,
2002-12,73.60M,,,,,18.79M,68.01M,3.027M,71.04M,71.04M,16.86M,,,,-27.16M,3.197M,2.329M,35.66M,,14.16M,,28.18M,208.47M,-42.34M,,-42.34M,,,0.00,-8.06M,-50.40M,,-180.32M,0.228M,0.00,0.228M,,,,,-9.398M,,1.234M,-188.26M,38.03M,-30.19M,7.836M,0.228M,,,0.00
2002-09,70.96M,,,,,3.087M,77.08M,2.997M,80.07M,80.07M,9.249M,,,,-22.15M,-8.712M,1.236M,-22.55M,,40.23M,,-11.95M,151.42M,-64.19M,,-64.19M,,,24.26M,-0.011M,-39.94M,,-60.33M,0.00,6.679M,6.679M,,,,,-27.90M,,-0.573M,-82.12M,8.663M,29.36M,38.03M,0.00,,,6.679M
2002-06,15.04M,,,,,9.721M,115.36M,6.005M,68.31M,68.31M,12.67M,,,,3.418M,-33.87M,-0.619M,17.39M,,40.04M,,26.36M,132.09M,-49.64M,,-49.64M,,,23.68M,-23.10M,-49.06M,,-79.47M,5.178M,-18.35M,-13.17M,,,,,9.081M,,-0.169M,-83.73M,9.371M,-0.708M,8.663M,5.178M,,,-18.35M
2002-03,5.058M,,,,,10.64M,,,53.05M,53.05M,12.70M,,,,-24.49M,15.59M,-2.275M,-30.53M,,-19.00M,,-60.71M,20.75M,-31.83M,,-31.83M,,,,22.95M,-8.885M,,-2.876M,2.371M,,2.371M,,,,,-9.081M,,-0.492M,-10.08M,7.587M,1.784M,9.371M,2.371M,,,
2001-12,7.072M,,,,,4.972M,,,66.44M,66.44M,15.92M,,,,1.403M,0.601M,0.86M,-28.17M,,-35.22M,,-60.53M,33.87M,-48.19M,,-48.19M,,,,1.358M,-46.83M,,16.33M,,0.00,0.00,,,,,-9.193M,,-19.46M,-12.32M,32.87M,-25.29M,7.587M,,,,0.00
2001-09,13.43M,,,,,1.848M,,,71.00M,71.00M,9.085M,,,,58.60M,4.872M,0.634M,10.67M,,14.15M,,88.93M,184.29M,-38.11M,,-38.11M,,,,-139.76M,-177.88M,,34.42M,,-10.39M,-10.39M,,,,,-11.76M,,-0.763M,11.51M,14.95M,17.93M,32.87M,,,,-10.39M
2001-06,45.42M,,,,,9.499M,,,78.32M,78.32M,19.30M,,,,9.778M,13.36M,6.861M,-3.651M,0.402M,6.035M,,32.78M,185.32M,-41.33M,,-41.33M,,,,-0.02M,-41.35M,,-123.39M,,0.00,0.00,,,,,-13.24M,,-3.779M,-140.41M,11.39M,3.559M,14.95M,,,,0.00
2001-03,47.10M,,,,,6.169M,,,68.13M,68.13M,22.78M,,,,-38.03M,2.015M,,15.86M,-0.402M,-18.12M,,-38.68M,105.51M,-39.34M,,-39.34M,,,,4.592M,-34.74M,,-53.00M,,-3.436M,-3.436M,,,,,-9.204M,,-1.697M,-67.34M,7.968M,3.419M,11.39M,,,,-3.436M
2000-12,67.28M,,,,,6.75M,,,88.04M,88.04M,30.45M,,,,12.86M,-9.053M,,-24.04M,-2.67M,41.48M,,18.58M,211.10M,-50.35M,,-50.35M,,,,1.166M,-49.18M,,-25.41M,,-41.21M,-41.21M,,,,,-43.43M,,-49.87M,-159.93M,5.978M,1.99M,7.968M,,,,-41.21M
2000-09,0.154M,,,,,25.35M,,,77.82M,77.82M,5.132M,,,,-54.45M,-14.28M,,13.61M,8.955M,14.38M,,-31.78M,76.69M,-35.08M,,-35.08M,,,,6.455M,-28.62M,,9.872M,,-48.27M,-48.27M,,,,,-41.24M,,31.69M,-47.94M,5.861M,0.117M,5.978M,,,,-48.27M
2000-06,-9.176M,,,,,19.74M,,,54.33M,54.33M,-6.799M,,,,38.53M,-13.00M,,17.16M,-2.747M,-15.38M,,24.56M,82.65M,-33.38M,,-33.38M,,,,-6.442M,-39.82M,,62.58M,,-61.71M,-61.71M,,,,,-5.526M,,-37.56M,-42.21M,5.24M,0.621M,5.861M,,,,-61.71M
2000-03,18.73M,,,,,13.27M,,,63.36M,63.36M,20.37M,,,,21.01M,-3.296M,,51.10M,1.869M,-40.84M,,29.85M,145.58M,-57.87M,,-57.87M,,,,-5.717M,-63.58M,,-4.524M,,-60.65M,-60.65M,,,,,-13.45M,,-4.827M,-83.45M,6.698M,-1.458M,5.24M,,,,-60.65M
1999-12,46.90M,,,,,30.00M,,,76.00M,76.00M,10.90M,,,0.20M,36.10M,-13.70M,,-11.60M,-6.20M,12.50M,,17.10M,181.10M,-58.20M,,-58.20M,,,,5.00M,-53.20M,,-107.80M,,0.00,0.00,,,,,-11.90M,,-4.80M,-124.50M,3.40M,3.40M,6.70M,,,,0.00
1999-09,35.60M,,,,,14.00M,,,74.10M,74.10M,14.10M,,,,-26.60M,-19.00M,,1.10M,0.50M,15.30M,,-28.70M,109.10M,-26.00M,,-26.00M,,,,-3.40M,-29.40M,,-51.70M,,-11.90M,-11.90M,,,,,-13.20M,,-4.10M,-80.90M,4.60M,-1.20M,3.40M,,,,-11.90M
1999-06,27.60M,,,,,20.70M,,,72.40M,72.40M,15.40M,,,-0.10M,-50.30M,16.50M,,17.20M,0.10M,3.70M,,-12.80M,123.20M,-41.60M,,-41.60M,,,,-0.80M,-42.40M,,-62.80M,,-0.10M,-0.10M,,,,,-14.00M,,-4.70M,-81.60M,0.00,-0.80M,4.60M,,,,-0.10M
1999-03,26.40M,,,,,25.50M,,,70.70M,70.70M,19.70M,,,0.10M,82.90M,-36.70M,,-22.20M,-1.20M,-9.80M,,13.00M,155.40M,-35.00M,,-35.00M,,,,,-35.00M,,-96.00M,,-7.80M,-7.80M,,,,,-12.60M,,-4.50M,-120.90M,5.90M,-0.50M,0.00,,,,-7.80M
1998-12,50.80M,,,,,19.40M,,,80.00M,80.00M,28.50M,,,0.10M,-60.20M,-13.80M,,17.70M,-1.40M,-0.90M,,-58.60M,120.20M,-31.30M,,-31.30M,,,,3.10M,-28.20M,,-49.20M,,-21.70M,-21.70M,,,,,-21.00M,,-4.10M,-96.00M,0.00,-4.00M,5.90M,,,,-21.70M
1998-09,32.60M,,,,,26.50M,,,75.10M,75.10M,9.40M,,,0.10M,7.50M,2.90M,,17.50M,-2.50M,9.40M,,34.80M,178.50M,-41.40M,,-41.40M,,,,1.90M,-39.50M,,61.40M,,-170.60M,-170.60M,,,,,-20.80M,,-4.30M,-134.30M,0.00,4.70M,0.00,,,,-170.60M
1998-06,34.80M,,,,,7.10M,,,64.00M,64.00M,9.80M,,,-0.10M,-18.40M,17.40M,,-30.50M,1.70M,3.20M,,-26.60M,89.00M,-122.40M,,-122.40M,,,,2.60M,-119.80M,,66.50M,,-17.40M,-17.40M,,,,,-21.00M,,-4.00M,24.10M,0.00,-6.70M,0.00,,,,-17.40M
