,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,CashfromDiscontinuedOperationsAdjustment,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2004-12,429.00M,,,,,137.00M,321.00M,321.00M,-47.00M,,,79.00M,-268.00M,331.00M,670.00M,,,101.00M,834.00M,,1.753B,-860.00M,29.00M,-831.00M,,152.00M,-111.00M,-790.00M,,,-2.00M,11.00M,,7.00M,,-97.00M,1.00M,-91.00M,2.492B,872.00M,5.00M,3.369B,,11.00M,,,,,
2004-09,222.00M,,,,,261.00M,296.00M,296.00M,-22.00M,,,63.00M,1.00M,-181.00M,214.00M,,,-101.00M,-67.00M,,753.00M,-458.00M,26.00M,-432.00M,,-152.00M,93.00M,-491.00M,,,-2.00M,8.00M,,8.00M,,-87.00M,95.00M,14.00M,2.214B,276.00M,2.00M,2.492B,,8.00M,,,,,
2004-06,352.00M,,,,,314.00M,298.00M,298.00M,-1.00M,,,-9.00M,-466.00M,56.00M,393.00M,,,,-17.00M,,937.00M,-575.00M,15.00M,-560.00M,,32.00M,-112.00M,-640.00M,,,-78.00M,7.00M,,7.00M,,-86.00M,-5.00M,-162.00M,2.08B,135.00M,-1.00M,2.214B,,7.00M,,,,,
2004-03,258.00M,,,,,60.00M,302.00M,302.00M,-3.00M,,,-54.00M,24.00M,-247.00M,-53.00M,,,,-276.00M,,287.00M,-344.00M,6.00M,-338.00M,,-32.00M,3.00M,-367.00M,,,-177.00M,1.021B,,1.021B,,-78.00M,,766.00M,1.396B,686.00M,-2.00M,2.08B,,1.021B,,,,,
2003-12,485.00M,,,,,-130.00M,278.00M,278.00M,71.00M,,,2.00M,-165.00M,211.00M,245.00M,,,,291.00M,,997.00M,-620.00M,248.00M,-372.00M,-3.00M,,27.00M,876.00M,,,-114.00M,15.00M,-304.00M,-289.00M,,221.00M,-147.00M,-329.00M,461.00M,952.00M,3.00M,1.396B,-592.00M,15.00M,,,-304.00M,,
2003-09,281.00M,,,,,64.00M,246.00M,246.00M,21.00M,,,176.00M,-53.00M,-31.00M,40.00M,,-71.00M,,-115.00M,,673.00M,-423.00M,80.00M,-343.00M,-29.00M,,-10.00M,-440.00M,,,-174.00M,1.00M,37.00M,38.00M,,-78.00M,-89.00M,-303.00M,501.00M,22.00M,1.00M,461.00M,92.00M,1.00M,,,37.00M,,
2003-06,248.00M,,,,,186.00M,311.00M,311.00M,11.00M,,,-40.00M,185.00M,-78.00M,-422.00M,,71.00M,,-244.00M,,472.00M,-475.00M,307.00M,-168.00M,-220.00M,-8.00M,-104.00M,-500.00M,,,78.00M,1.00M,-37.00M,-36.00M,,-71.00M,-15.00M,-44.00M,565.00M,-72.00M,8.00M,501.00M,,1.00M,,,-37.00M,,
2003-03,307.00M,,,,,56.00M,309.00M,309.00M,-32.00M,,,40.00M,-638.00M,-69.00M,633.00M,,,,-74.00M,,606.00M,-374.00M,9.00M,-365.00M,,8.00M,36.00M,-321.00M,,,-129.00M,,,,,-72.00M,-11.00M,-212.00M,488.00M,73.00M,4.00M,565.00M,,,,,,,
2002-12,194.00M,,,,,152.00M,257.00M,257.00M,49.00M,,,-72.00M,-14.00M,89.00M,275.00M,,,,350.00M,,930.00M,-497.00M,52.00M,-445.00M,0.00,,-38.00M,-471.00M,,,-178.00M,0.00,-7.00M,-7.00M,,-68.00M,-89.00M,-342.00M,375.00M,180.00M,2.00M,488.00M,,0.00,,,-7.00M,,
2002-09,87.00M,,,,,28.00M,292.00M,292.00M,50.00M,,,43.00M,241.00M,2.00M,-7.00M,,,,236.00M,,736.00M,-383.00M,63.00M,-320.00M,0.00,,-54.00M,-374.00M,,,-120.00M,0.00,0.00,0.00,,-75.00M,-87.00M,-282.00M,295.00M,80.00M,0.00,375.00M,,0.00,,,0.00,,
2002-06,168.00M,,,,,116.00M,308.00M,308.00M,0.00,,,11.00M,-237.00M,-84.00M,158.00M,,,,-163.00M,,440.00M,-348.00M,10.00M,-338.00M,-147.00M,,-46.00M,-531.00M,,,215.00M,2.00M,-295.00M,-293.00M,,-71.00M,296.00M,147.00M,237.00M,56.00M,2.00M,295.00M,,2.00M,,,-295.00M,,
2002-03,67.00M,,,,,-32.00M,294.00M,294.00M,-22.00M,,,-48.00M,-93.00M,-60.00M,188.00M,,,,35.00M,,294.00M,-292.00M,21.00M,-271.00M,-1.013B,,5.00M,-1.279B,,,932.00M,,,,,-71.00M,-296.00M,565.00M,657.00M,-420.00M,,237.00M,,,,,,,
2001-12,-1.074B,,,,,1.132B,322.00M,322.00M,3.00M,,,591.00M,40.00M,35.00M,-305.00M,,,,-230.00M,,744.00M,-619.00M,115.00M,-504.00M,0.00,,-167.00M,-821.00M,,,102.00M,1.00M,0.00,1.00M,,-81.00M,-350.00M,-328.00M,987.00M,359.00M,0.00,195.00M,764.00M,1.00M,,,0.00,,
2001-09,170.00M,,,,,451.00M,302.00M,302.00M,15.00M,,,-18.00M,0.00,39.00M,-90.00M,,,,-51.00M,,869.00M,-392.00M,75.00M,-317.00M,0.00,,32.00M,-381.00M,,,8.00M,8.00M,0.00,8.00M,,-83.00M,-206.00M,-273.00M,723.00M,226.00M,1.00M,987.00M,11.00M,8.00M,,,0.00,,
2001-06,552.00M,,,,,336.00M,306.00M,306.00M,-76.00M,,,9.00M,-14.00M,30.00M,66.00M,,,,82.00M,,1.209B,-352.00M,72.00M,-280.00M,0.00,,-19.00M,-495.00M,,,-357.00M,3.00M,-1.00M,2.00M,,-82.00M,-241.00M,-678.00M,591.00M,125.00M,-2.00M,723.00M,89.00M,3.00M,,,-1.00M,,
2001-03,509.00M,,,,,89.00M,303.00M,303.00M,-159.00M,,,368.00M,146.00M,-170.00M,-272.00M,,,,-296.00M,,814.00M,-276.00M,34.00M,-242.00M,-506.00M,,4.00M,-792.00M,,,87.00M,,,,,-95.00M,-3.00M,-11.00M,559.00M,278.00M,-3.00M,591.00M,267.00M,,,,,,
2000-12,-310.00M,,,,,1.088B,518.00M,518.00M,-554.00M,,,-62.00M,-43.00M,163.00M,717.00M,-149.00M,39.00M,,727.00M,,1.407B,-547.00M,287.00M,-260.00M,,,59.00M,-266.00M,,,578.00M,,-68.00M,-67.00M,,-71.00M,-1.408B,-968.00M,165.00M,173.00M,2.00M,340.00M,,,,,-68.00M,,
2000-09,121.00M,,,,,144.00M,241.00M,241.00M,298.00M,,,,-44.00M,90.00M,-260.00M,149.00M,-39.00M,42.00M,-62.00M,,742.00M,-302.00M,38.00M,-264.00M,,,38.00M,-226.00M,,,-264.00M,,-37.00M,-37.00M,,-72.00M,-140.00M,-513.00M,162.00M,3.00M,-1.00M,165.00M,,,,,-37.00M,,
2000-06,367.00M,,,,,222.00M,240.00M,240.00M,12.00M,,,24.00M,-321.00M,-202.00M,388.00M,,,-42.00M,-177.00M,,688.00M,-239.00M,17.00M,-222.00M,,,-15.00M,-237.00M,,,-251.00M,,,,,-65.00M,-72.00M,-388.00M,102.00M,63.00M,-2.00M,162.00M,,,,,,,
2000-03,254.00M,,,,,-28.00M,246.00M,246.00M,4.00M,,,-24.00M,31.00M,-34.00M,-128.00M,,,,-131.00M,,321.00M,-337.00M,197.00M,-140.00M,,,-54.00M,-194.00M,,,-69.00M,,,,,-66.00M,,-135.00M,111.00M,-8.00M,-1.00M,102.00M,,,,,,,
1999-12,171.00M,,,,,49.00M,272.00M,272.00M,16.00M,,,84.00M,-166.00M,32.00M,404.00M,,10.00M,,280.00M,,872.00M,-551.00M,101.00M,-450.00M,,,-51.00M,-501.00M,,,-258.00M,43.00M,,43.00M,,-64.00M,-67.00M,-346.00M,87.00M,25.00M,-1.00M,111.00M,,43.00M,,,,,
1999-09,230.00M,,,,,239.00M,219.00M,219.00M,40.00M,,,77.00M,-402.00M,56.00M,358.00M,,-10.00M,,2.00M,,807.00M,-295.00M,77.00M,-218.00M,,,-64.00M,-282.00M,,,-160.00M,38.00M,,38.00M,,-63.00M,-333.00M,-518.00M,79.00M,7.00M,1.00M,87.00M,,38.00M,,,,,
1999-06,134.00M,,,,,-11.00M,222.00M,222.00M,36.00M,,,24.00M,-158.00M,-59.00M,175.00M,,,,-42.00M,,363.00M,-336.00M,157.00M,-179.00M,,,-32.00M,-211.00M,,,-69.00M,2.00M,,2.00M,,-65.00M,,-132.00M,59.00M,20.00M,0.00,79.00M,,2.00M,,,,,
1999-03,119.00M,,,,,-253.00M,237.00M,237.00M,13.00M,,,-101.00M,-107.00M,-92.00M,158.00M,,,,-41.00M,,-26.00M,-196.00M,21.00M,-175.00M,,,-5.00M,-180.00M,,,188.00M,6.00M,,6.00M,,-65.00M,,129.00M,137.00M,-77.00M,-1.00M,59.00M,,6.00M,,,,,
1998-12,-86.00M,,,,,305.00M,240.00M,240.00M,-114.00M,,,-92.00M,227.00M,64.00M,-199.00M,,15.00M,,107.00M,,360.00M,-435.00M,21.00M,-414.00M,,,-28.00M,-442.00M,,,-712.00M,529.00M,,529.00M,,-63.00M,,-246.00M,465.00M,-328.00M,0.00,137.00M,,529.00M,,,,,
1998-09,51.00M,,,,,52.00M,222.00M,222.00M,49.00M,,,69.00M,-148.00M,83.00M,-100.00M,,-15.00M,,-180.00M,,263.00M,-971.00M,44.00M,-927.00M,,,258.00M,-669.00M,,,347.00M,34.00M,,34.00M,,-61.00M,,320.00M,550.00M,-86.00M,1.00M,465.00M,,34.00M,,,,,
1998-06,162.00M,,,,,85.00M,209.00M,209.00M,42.00M,,,-67.00M,-6.00M,-106.00M,8.00M,,,,-104.00M,,327.00M,-331.00M,-4.00M,-335.00M,,,-329.00M,-664.00M,,,426.00M,47.00M,,47.00M,,-61.00M,,412.00M,475.00M,75.00M,,550.00M,,47.00M,,,,,
