,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),AccountsPayable,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2007-09,169.50M,169.50M,1.127B,1.127B,191.30M,172.20M,636.60M,1.000B,169.10M,104.20M,,2.57B,,,,,,1.996B,-1.298B,697.40M,2.586B,499.40M,3.085B,,238.40M,4.021B,6.591B,,2007-09,619.20M,882.30M,1.502B,20.50M,775.20M,795.70M,,795.70M,,,2.10M,2.299B,1.332B,,1.332B,,,,,796.30M,2.128B,4.427B,,1.876B,556.20M,415.00M,,72.50M,2.164B,,2007-09,,
2007-06,162.80M,162.80M,1.215B,1.215B,178.00M,176.20M,619.30M,973.50M,138.90M,96.50M,,2.587B,,,,,,2.006B,-1.298B,707.30M,2.497B,483.50M,2.980B,,229.00M,3.917B,6.504B,,2007-06,638.50M,786.10M,1.425B,21.40M,2.20M,23.60M,,23.60M,,,0.70M,1.449B,2.232B,,2.232B,,,,,797.20M,3.029B,4.478B,,1.764B,546.10M,415.00M,,62.00M,2.025B,,2007-06,,
2007-03,217.80M,217.80M,979.30M,979.30M,175.10M,172.80M,586.50M,934.40M,127.10M,96.30M,,2.355B,,,,,,2.034B,-1.298B,735.60M,2.442B,471.90M,2.914B,,232.50M,3.882B,6.237B,,2007-03,555.10M,716.00M,1.271B,21.60M,2.20M,23.80M,,23.80M,,,0.90M,1.296B,2.321B,,2.321B,,,,,726.90M,3.048B,4.344B,,1.681B,531.70M,414.80M,,28.70M,1.893B,,2007-03,,
2006-12,201.00M,201.00M,1.114B,1.114B,172.80M,158.60M,519.20M,850.60M,133.50M,110.10M,68.10M,2.477B,0.00,34.10M,393.70M,1.618B,,2.045B,-1.298B,746.90M,2.436B,458.80M,2.894B,1.30M,190.90M,3.834B,6.310B,,2006-12,549.90M,888.80M,1.439B,23.90M,253.60M,277.50M,,277.50M,,,180.40M,1.897B,1.972B,,1.972B,,,,,551.40M,2.524B,4.420B,,1.690B,505.00M,411.60M,,41.60M,1.890B,,2006-12,,
2006-09,137.40M,137.40M,1.080B,1.080B,196.30M,167.60M,582.10M,946.00M,136.20M,117.40M,287.70M,2.704B,,,,,,2.029B,-1.266B,763.60M,2.412B,437.90M,2.85B,,195.30M,3.809B,6.513B,,2006-09,605.40M,816.00M,1.421B,21.50M,405.90M,427.40M,,427.40M,,,198.70M,2.048B,2.029B,,2.029B,31.80M,31.80M,,,582.90M,2.644B,4.691B,,1.646B,488.30M,411.60M,,,1.822B,,2006-09,,
2006-06,116.30M,116.30M,1.158B,1.158B,202.70M,176.70M,588.40M,967.80M,96.60M,131.80M,209.40M,2.679B,,,,,,2.098B,-1.266B,832.40M,2.42B,415.70M,2.836B,,188.20M,3.856B,6.536B,,2006-06,634.80M,797.30M,1.432B,20.90M,408.60M,429.50M,,429.50M,,,88.60M,1.950B,2.246B,,2.246B,32.10M,32.10M,,,579.90M,2.858B,4.808B,,1.596B,472.70M,411.60M,,,1.728B,,2006-06,,
2006-03,176.10M,176.10M,1.043B,1.043B,213.50M,184.60M,599.50M,997.60M,130.20M,105.10M,,2.452B,,,,,,2.195B,-1.266B,929.10M,2.373B,424.60M,2.798B,,190.10M,3.917B,6.370B,,2006-03,605.90M,756.70M,1.363B,2.30M,411.40M,413.70M,,413.70M,,,,1.776B,2.326B,,2.326B,,,,,609.20M,2.935B,4.711B,,1.535B,461.10M,411.60M,,,1.658B,,2006-03,,
2005-12,115.50M,115.50M,1.108B,1.108B,159.70M,169.00M,465.10M,793.80M,103.20M,109.80M,242.70M,2.473B,,,,,,2.120B,-1.266B,854.00M,2.304B,401.70M,2.706B,37.70M,375.60M,3.973B,6.446B,,2005-12,590.50M,820.30M,1.411B,4.00M,162.80M,166.80M,,166.80M,,,219.80M,1.797B,2.430B,,2.430B,,,,,575.80M,3.006B,4.803B,,1.538B,453.00M,411.60M,,,1.643B,,2005-12,,
2005-09,485.50M,485.50M,1.082B,1.082B,217.30M,199.20M,594.10M,1.011B,107.20M,69.70M,8.00M,2.763B,,,,,,2.091B,-1.085B,1.006B,,2.081B,2.081B,2.10M,274.90M,3.364B,6.127B,,2005-09,576.40M,838.00M,1.414B,6.20M,25.40M,31.60M,,31.60M,,,46.90M,1.493B,2.377B,,2.377B,,,,,537.60M,2.915B,4.408B,,1.519B,451.40M,411.60M,,,1.719B,,2005-09,,
2005-06,212.20M,212.20M,1.204B,1.204B,209.00M,190.40M,624.30M,1.024B,113.60M,74.00M,11.10M,2.639B,,,,,,2.199B,-1.085B,1.113B,,2.109B,2.109B,5.20M,216.60M,3.444B,6.084B,,2005-06,590.20M,805.70M,1.396B,13.00M,25.40M,38.40M,,38.40M,,,20.80M,1.455B,2.381B,,2.381B,,,,,542.80M,2.923B,4.378B,,1.506B,448.30M,411.60M,,,1.705B,,2005-06,,
2005-03,429.80M,429.80M,1.037B,1.037B,231.00M,186.10M,639.90M,1.057B,123.30M,74.00M,65.00M,2.786B,,,,,,2.296B,-1.085B,1.211B,,2.130B,2.130B,13.10M,191.10M,3.545B,6.332B,,2005-03,629.40M,761.40M,1.391B,18.50M,195.40M,213.90M,,213.90M,,,26.40M,1.631B,2.384B,,2.384B,,,,,583.80M,2.968B,4.599B,,1.497B,446.70M,411.60M,,,1.733B,,2005-03,,
2004-12,505.60M,505.60M,1.199B,1.199B,216.50M,162.50M,539.00M,918.00M,178.40M,73.80M,137.20M,3.012B,0.00,49.80M,499.10M,1.707B,,2.256B,-1.024B,1.232B,,2.122B,2.122B,30.50M,269.90M,3.654B,6.667B,,2004-12,637.10M,887.10M,1.524B,21.30M,185.60M,206.90M,,206.90M,,,140.20M,1.871B,2.424B,,2.424B,,,,,607.00M,3.031B,4.903B,,1.519B,437.50M,411.60M,,,1.764B,,2004-12,,
2004-09,354.50M,354.50M,1.184B,1.184B,251.10M,170.10M,638.80M,1.06B,163.20M,115.30M,,2.877B,,,,,,2.980B,-1.638B,1.341B,,2.105B,2.105B,9.30M,272.20M,3.728B,6.605B,,2004-09,633.10M,957.80M,1.591B,14.00M,215.00M,229.00M,,229.00M,,,134.00M,1.954B,2.440B,,2.440B,,,,,585.00M,3.025B,4.978B,,1.452B,437.40M,411.60M,,,1.627B,,2004-09,,
2004-06,111.00M,111.00M,1.309B,1.309B,271.20M,179.40M,564.60M,1.015B,150.70M,114.50M,19.20M,2.720B,,,,,,3.087B,-1.638B,1.449B,,2.402B,2.402B,33.50M,261.00M,4.146B,6.865B,,2004-06,657.90M,974.20M,1.632B,12.90M,173.90M,186.80M,,186.80M,,,82.80M,1.902B,2.484B,,2.484B,,,0.50M,,578.90M,3.063B,4.965B,,1.736B,436.40M,411.60M,,,1.900B,,2004-06,,
2004-03,51.90M,51.90M,1.253B,1.253B,259.80M,149.80M,582.10M,991.70M,191.40M,153.70M,175.20M,2.817B,,,,,,3.197B,-1.638B,1.558B,,2.036B,2.036B,56.70M,741.40M,4.392B,7.209B,,2004-03,663.50M,976.60M,1.640B,12.70M,14.10M,26.80M,,26.80M,,,182.60M,1.850B,2.871B,,2.871B,,,1.90M,,574.90M,3.446B,5.296B,,1.733B,432.20M,411.60M,,,1.912B,,2004-03,,
2003-12,144.40M,144.40M,1.397B,1.397B,240.40M,115.40M,529.00M,884.80M,183.10M,152.70M,238.10M,3.000B,0.00,60.10M,704.00M,2.167B,,2.931B,-1.322B,1.609B,,2.437B,2.437B,68.10M,366.70M,4.480B,7.481B,,2003-12,694.70M,1.082B,1.777B,21.90M,13.50M,35.40M,,35.40M,,,209.40M,2.022B,2.869B,,2.869B,,,1.50M,,572.30M,3.441B,5.463B,,1.866B,439.90M,411.60M,,,2.016B,,2003-12,,
2003-09,77.10M,77.10M,1.393B,1.393B,313.90M,185.40M,771.90M,1.271B,221.20M,200.40M,,3.162B,,,,,,3.507B,-1.690B,1.817B,,2.672B,2.672B,,316.30M,4.805B,7.967B,,2003-09,815.90M,1.18B,1.996B,31.60M,30.80M,62.40M,,62.40M,,,139.00M,2.197B,2.539B,,2.539B,2.30M,2.30M,,500.00M,402.40M,3.444B,5.641B,,2.135B,438.20M,411.60M,,,2.326B,,2003-09,,
2003-06,35.40M,35.40M,1.455B,1.455B,342.00M,210.20M,812.90M,1.365B,221.70M,202.30M,,3.280B,,,,,,3.537B,-1.690B,1.847B,,2.677B,2.677B,10.90M,313.30M,4.848B,8.128B,,2003-06,863.00M,,863.00M,37.40M,129.80M,167.20M,,167.20M,,,1.328B,2.358B,2.547B,,2.547B,,,1.50M,500.00M,398.60M,3.446B,5.803B,,2.118B,436.20M,410.90M,,,2.323B,,2003-06,,
2003-03,10.20M,10.20M,1.276B,1.276B,312.50M,203.20M,769.70M,1.285B,224.30M,212.80M,,3.009B,,,,,,3.543B,-1.690B,1.853B,,2.584B,2.584B,9.80M,302.80M,4.750B,7.759B,,2003-03,736.50M,1.133B,1.869B,24.50M,227.90M,252.40M,,252.40M,,,156.50M,2.278B,2.378B,,2.378B,,,1.50M,500.00M,379.80M,3.257B,5.535B,,2.102B,432.90M,410.20M,,,2.222B,,2003-03,,
2002-12,55.10M,55.10M,1.378B,1.378B,308.80M,174.90M,712.50M,1.196B,237.50M,213.50M,,3.08B,0.00,64.70M,785.40M,2.653B,,3.503B,-1.690B,1.813B,,2.209B,2.209B,,302.20M,4.324B,7.404B,,2002-12,686.60M,1.319B,2.006B,25.20M,424.00M,449.20M,,449.20M,,,159.70M,2.614B,2.372B,,2.372B,4.70M,4.70M,1.30M,,348.40M,2.725B,5.340B,,2.143B,237.30M,409.90M,,,2.064B,,2002-12,,
2002-09,6.70M,6.70M,1.363B,1.363B,364.70M,188.10M,724.50M,1.277B,216.50M,229.90M,,3.093B,,,,,,3.620B,-1.794B,1.826B,,2.181B,2.181B,,297.00M,4.305B,7.398B,,2002-09,684.90M,,684.90M,29.60M,405.80M,435.40M,,435.40M,,,1.302B,2.422B,1.990B,,1.990B,76.40M,76.40M,2.60M,500.00M,357.90M,2.924B,5.347B,,2.104B,234.50M,409.70M,,,2.049B,,2002-09,,
2002-06,10.07M,10.07M,1.429B,1.429B,241.10M,200.60M,849.02M,1.291B,208.18M,224.27M,,3.162B,0.00,63.00M,779.70M,2.728B,,3.570B,-1.794B,1.777B,,2.150B,2.150B,,308.77M,4.235B,7.397B,,2002-06,655.79M,1.041B,1.697B,30.48M,300.16M,330.65M,,330.65M,,,141.88M,2.170B,2.217B,,2.217B,83.42M,83.42M,2.504M,500.00M,399.47M,3.199B,5.369B,,2.084B,230.10M,409.56M,,-150.40M,2.026B,,2002-06,,
2002-03,10.16M,10.16M,1.191B,1.191B,186.90M,186.60M,773.86M,1.147B,201.20M,226.79M,,2.777B,0.00,58.70M,724.30M,2.564B,,3.347B,-1.702B,1.645B,,1.745B,1.745B,,443.37M,3.833B,6.610B,,2002-03,525.83M,980.13M,1.506B,29.70M,553.00M,582.70M,,582.70M,,,121.97M,2.211B,1.565B,,1.565B,75.75M,75.75M,0.767M,500.00M,372.52M,2.513B,4.724B,,2.051B,223.96M,408.83M,,-246.60M,1.885B,,2002-03,,
2001-12,6.802M,6.802M,1.298B,1.298B,223.20M,162.00M,728.60M,1.114B,193.41M,238.47M,,2.851B,0.00,59.50M,732.50M,2.546B,,3.338B,-1.649B,1.689B,,2.317B,2.317B,,409.38M,4.415B,7.266B,,2001-12,501.26M,1.061B,1.562B,19.10M,807.50M,826.60M,,826.60M,,,145.18M,2.534B,1.365B,,1.365B,73.68M,73.68M,0.685M,500.00M,359.53M,2.298B,4.832B,,2.571B,219.82M,408.46M,,-213.10M,2.433B,,2001-12,,
2001-09,9.257M,9.257M,1.316B,1.316B,237.50M,182.10M,765.85M,1.185B,180.87M,241.67M,,2.933B,0.00,60.50M,735.80M,2.529B,,3.325B,-1.632B,1.693B,,2.171B,2.171B,,429.01M,4.293B,7.227B,,2001-09,446.28M,914.48M,1.361B,23.90M,915.44M,939.34M,,939.34M,,,185.87M,2.486B,1.365B,,1.365B,105.32M,105.32M,0.654M,500.00M,352.39M,2.323B,4.809B,,2.557B,218.08M,408.46M,,-215.60M,2.417B,,2001-09,,
2001-06,15.79M,15.79M,1.247B,1.247B,230.60M,180.20M,860.86M,1.272B,164.68M,237.25M,,2.936B,0.00,59.40M,744.80M,2.463B,,3.267B,-1.565B,1.702B,,2.156B,2.156B,,406.96M,4.265B,7.201B,,2001-06,429.13M,874.09M,1.303B,25.58M,174.04M,199.62M,,199.62M,,,161.83M,1.665B,2.216B,,2.216B,95.01M,95.01M,0.602M,500.00M,368.54M,3.179B,4.844B,,2.529B,217.92M,408.46M,,-255.80M,2.356B,,2001-06,,
2001-03,19.87M,19.87M,1.132B,1.132B,171.30M,180.90M,957.79M,1.310B,189.47M,221.98M,,2.873B,0.00,59.80M,727.70M,2.442B,,3.229B,-1.510B,1.719B,,2.150B,2.150B,,425.69M,4.295B,7.168B,,2001-03,366.48M,838.60M,1.205B,13.84M,214.29M,228.14M,,228.14M,,,113.07M,1.546B,2.318B,,2.318B,103.09M,103.09M,1.026M,500.00M,355.07M,3.276B,4.823B,,2.513B,217.62M,408.46M,,-241.30M,2.344B,,2001-03,,
2000-12,22.52M,22.52M,1.183B,1.183B,244.80M,165.30M,852.45M,1.263B,180.05M,231.88M,,2.880B,0.00,60.70M,736.10M,2.422B,,3.218B,-1.461B,1.757B,,2.190B,2.190B,,434.61M,4.381B,7.262B,,2000-12,342.41M,908.09M,1.250B,23.49M,203.71M,227.21M,,227.21M,,,73.12M,1.551B,2.320B,,2.320B,93.16M,93.16M,1.788M,500.00M,347.86M,3.261B,4.811B,,2.531B,215.91M,407.46M,,-171.80M,2.449B,,2000-12,,
2000-09,21.44M,21.44M,,1.237B,,,,1.171B,,,425.32M,2.854B,,,,,,3.013B,-1.439B,1.574B,,1.973B,1.973B,,386.98M,3.934B,6.789B,,2000-09,343.51M,,343.51M,,,119.52M,,119.52M,,,977.18M,1.440B,2.065B,,2.065B,58.88M,58.88M,501.18M,,345.48M,2.469B,3.909B,,2.493B,214.87M,407.46M,,,2.378B,,2000-09,,
2000-06,15.90M,15.90M,,1.224B,,,,1.201B,,,406.29M,2.847B,,,,,,3.025B,-1.452B,1.574B,,2.025B,2.025B,,373.71M,3.972B,6.819B,,2000-06,340.93M,,340.93M,,,222.05M,,222.05M,,,967.85M,1.531B,2.008B,,2.008B,85.02M,85.02M,501.14M,,350.89M,2.444B,3.975B,,2.426B,214.02M,407.46M,,,2.343B,,2000-06,,
2000-03,8.028M,8.028M,,1.130B,,,,1.168B,,,388.73M,2.695B,,,,,,2.970B,-1.405B,1.565B,,2.037B,2.037B,,380.15M,3.983B,6.678B,,2000-03,361.62M,,361.62M,,,317.33M,,317.33M,,,878.78M,1.558B,1.877B,,1.877B,83.95M,83.95M,501.11M,,355.26M,2.316B,3.874B,,2.354B,213.65M,405.89M,,,2.303B,,2000-03,,
1999-12,102.20M,102.20M,,1.178B,,,,1.035B,,,423.20M,2.739B,,,,,,2.955B,-1.407B,1.548B,,2.025B,2.025B,,412.40M,3.986B,6.724B,,1999-12,376.60M,,376.60M,,,247.40M,,247.40M,,,1.006B,1.630B,1.456B,,1.456B,85.70M,85.70M,501.70M,,354.00M,1.896B,3.525B,,2.335B,210.40M,,,,2.697B,,1999-12,,
1999-09,34.00M,34.00M,,1.208B,,,,1.038B,,,260.20M,2.540B,,,,,,2.888B,-1.406B,1.482B,,1.908B,1.908B,,368.90M,3.760B,6.299B,,1999-09,332.70M,,332.70M,,,82.60M,,82.60M,,,999.30M,1.415B,1.362B,,1.362B,,,501.80M,,326.60M,1.689B,3.103B,,2.319B,209.40M,,,,2.694B,,1999-09,,
1999-06,49.00M,49.00M,,1.166B,,,,1.078B,,,238.00M,2.532B,,,,,,2.907B,-1.392B,1.515B,,1.872B,1.872B,,390.10M,3.777B,6.308B,,1999-06,323.50M,,323.50M,,,58.70M,,58.70M,,,865.80M,1.248B,1.55B,,1.55B,,,501.30M,,326.50M,1.876B,3.124B,,2.303B,,,,,2.682B,,1999-06,,
1999-03,69.90M,69.90M,,1.060B,,,,1.078B,,,247.40M,2.454B,,,,,,2.907B,-1.353B,1.554B,,1.837B,1.837B,,389.80M,3.781B,6.235B,,1999-03,269.60M,,269.60M,,,81.90M,,81.90M,,,742.60M,1.094B,1.591B,,1.591B,,,501.20M,,350.80M,1.942B,3.036B,,2.329B,,,,,2.698B,,1999-03,,
1998-12,86.60M,86.60M,,1.078B,,,,1.034B,,,252.00M,2.451B,,,,,,2.122B,-495.20M,1.627B,,1.867B,1.867B,,344.40M,3.839B,6.289B,,1998-12,322.10M,,322.10M,,,102.00M,,102.00M,,,747.80M,1.172B,1.394B,,1.394B,4.50M,4.50M,500.90M,,374.30M,1.773B,2.945B,,2.465B,,,,,2.844B,,1998-12,,
1998-09,42.40M,42.40M,,670.20M,,,,776.10M,,,278.70M,1.767B,,,,,,1.34B,-505.50M,834.50M,,1.763B,1.763B,,238.50M,2.836B,4.604B,,1998-09,180.40M,,180.40M,,,42.60M,,42.60M,,,838.70M,1.062B,912.70M,,912.70M,45.00M,45.00M,500.80M,,198.00M,1.156B,2.217B,,1.554B,,,,,1.886B,,1998-09,,
1998-06,68.40M,68.40M,,630.00M,,,,696.40M,,,267.80M,1.663B,,,,,,1.279B,-515.30M,763.80M,,1.612B,1.612B,,213.20M,2.589B,4.251B,,1998-06,138.30M,,138.30M,,,81.20M,,81.20M,,,689.60M,909.10M,770.20M,,770.20M,46.10M,46.10M,8.90M,,694.70M,1.511B,2.420B,,1.484B,,,,,1.822B,,1998-06,,
